Country Name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Aruba																											210447000	249832000	354748603.4	402067039.1	580837988.8	1402849162	1306033520	1395810056	1439273743	1596759777	2034748603	2115865922	1518156425	1993519553	2581564246	2371731844	2017150838	2397430168	3589162011	4287709497	4722793296	5126312849	6011061453	2448659218	1394245810	5916760000	2045531000	1376983000	1351229000	1253575000	1208147000
Afghanistan	87000000	99000000	116000000	125000000	124000000	121000000	128000000	126000000	114000000	126000000	114000000	141000000	164000000	172000000	243000000	350000000	261000000	328000000	395000000	425000000	841000000	886000000	962000000	1064000000	1390000000	1194000000	1404000000	996000000	900000000	822000000	936000000	443000000	398000000	465000000	391000000	387000000	661000000	604000000	462000000	1012000000	1176000000	1696000000	2452000000	2101000000	2177000000	2471000000	2744000000	3022000000	3020000000	3336000000	5154000000	6515000000	9069000000	8554000000	7729000000	7723000000	6534000000	7580000000	7407000000
Angola	128000000	114000000	136000000	147000000	164000000	195000000	207000000	275000000	303000000	321000000	368000000	445000000	392000000	579000000	614000000	429000000	353000000	720000000	885000000	1112000000	1328000000	1662000000	886000000	983000000	1256000000	1401000000	1086000000	1303000000	1372000000	1338000000	1578000000	1347000000	1988000000	1463000000	1454000000	1468000000	2040000000	2597000000	2079000000	3109000000	3040000000	3179000000	3760000000	5480000000	5832000000	8353000000	8778000000	13661000000	20982000000	22660000000	16667000000	20228000000	23717000000	26331000000	28580000000	20693000000	13041000000	14463000000	15442000000
Albania	81000000	72000000	65000000	71000000	98000000																								318000000	387000000	380000000	410000000	541000000	572000000	604000000	714000000	938000000	646000000	829000000	1140000000	1091000000	1327000000	1504000000	1864000000	2309000000	2618000000	3058000000	4188000000	5251000000	4550000000	4406000000	5396000000	4882000000	4902000000	5230000000	4320000000	4669000000	5294000000	5941000000
Andorra																																																							1556010081
United Arab Emirates	160000000	170000000	170000000	180000000	205000000	225000000	237000000	240000000	280000000	307000000	267000000	309000000	482000000	821000000	1705000000	2685000000	3337000000	5055000000	5371000000	6966000000	8746000000	9646000000	9440000000	8294000000	6936000000	6549000000	6422000000	7226000000	8522000000	10010000000	11199000000	13746000000	17410000000	20994000000	22775000000	23778000000	30563000000	34107000000	32588000000	31721000000	35009000000	37293000000	42652000000	52074000000	72082000000	84654000000	1.00057E+11	1.50123E+11	2.00327E+11	1.70121E+11	1.87001E+11	2.29932E+11	2.56528E+11	2.70579E+11	2.76025E+11	2.63E+11	2.71E+11	2.68E+11	2.53E+11
Argentina	1249000000	1460000000	1357000000	981000000	1077000000	1199000000	1124000000	1096000000	1169000000	1576000000	1694000000	1868000000	1905000000	2230000000	3635000000	3947000000	3033000000	4162000000	3834000000	6700000000	10541000000	9430000000	5337000000	4504000000	4585000000	3814000000	4724000000	5818000000	5322000000	4203000000	4076000000	8275000000	14872000000	16784000000	21527000000	20122000000	23762000000	30450000000	31404000000	25508000000	25154000000	20320000000	8990000000	13834000000	22445000000	28689000000	34152000000	44706000000	57462000000	38786000000	56793000000	74319000000	67974000000	74442000000	65735000000	60205000000	55852000000	66930000000	65443000000
Armenia																																	206000000	254000000	394000000	674000000	856000000	892000000	902000000	800000000	882000000	874000000	987000000	1280000000	1351000000	1802000000	2192000000	3268000000	4426000000	3321000000	3783000000	4145000000	4261000000	4477000000	4401000000	3239000000	3273000000	4189000000	4963000000
American Samoa	5000000	4000000	8000000	14000000	10000000	10000000	6000000	4000000	12000000	12000000	18000000	20000000	24000000	36000000	47000000	53000000	51000000	55000000	73000000	40000000	95000000	234000000	198000000	227000000	284000000	296000000	313000000	346000000	339000000	378000000	360000000	372000000	418000000	467000000	498000000	416000000	471000000	529000000	498000000	453000000	506000000	507000000	486000000	611000000	589000000	506000000	566000000	460000000	568000000	482000000	361000000	345000000	396000000	479000000	611000000	675000000	675000000	615000000	630000000
Antigua and Barbuda	9000000	11000000	13000000	13000000	13000000	19000000	26000000	23000000	25000000	29000000	36000000	44000000	47000000	48000000	70000000	67000000	35000000	34000000	41000000	63000000	88000000	111000000	139000000	109000000	132000000	166000000	207000000	247000000	250000000	192000000	255000000	295000000	312000000	323000000	342000000	346000000	365000000	379000000	385000000	414000000	407000000	386000000	400000000	422000000	454000000	506000000	624000000	728000000	743000000	534000000	501000000	430000000	492000000	503000000	532000000	449000000	443000000	554000000	501000000
